,西雅图,青鸟,不老不死,铄金,警察蜀黍,〇,地势坤,万神,4399,饭姐,多情岸,买买买,玫瑰,斯莱特林,饭圈小姐,九九,达拉,钥匙,APP,复仇生涯,赤伶,天下局,如见青山,四零四,勾指,罗德岛,肮脏的神,桂圆,上山岗,男孩,权御,冠世,祖龙吟,木兰行,流年,白石溪,非人哉,不买,大时代,逃亡生涯,普通,万古
20191201,0,0,742838,925433,974306,953094,821297,0,0,0,0,0,0,0,0,7959722,6819290,928796,0,961754,0,0,0,0,4001420,792671,0,735853,0,777023,6214301,4795620,0,0,0,0,969960,0,0,970160,9204309,0,
20191202,0,0,743957,925661,974480,953930,822599,0,0,0,870383,0,0,0,0,7962108,6821170,928926,0,962316,0,0,0,0,4005420,793067,0,736211,0,777351,6215686,4798204,0,0,0,0,970199,0,0,970390,9209701,0,
20191203,0,0,745148,925933,974676,954810,823961,0,0,0,870557,0,0,0,0,7964395,6822950,929074,0,962937,0,0,0,0,4009262,793487,0,736636,0,777670,6217022,4800747,0,0,0,0,970423,0,0,970630,9215305,0,
20191204,0,0,748267,926199,974828,955555,825271,0,0,0,870708,0,0,0,0,7966712,6824780,929192,0,963611,0,0,0,0,4013070,793958,0,737100,0,778054,6218336,4803501,0,0,0,0,970595,0,0,970912,9220085,0,
20191205,0,0,750272,926424,974969,956296,826365,0,0,0,870863,0,0,0,0,7968762,6826478,929320,0,964247,0,0,0,0,4016335,794360,0,737529,0,778347,6219481,4805779,0,0,0,0,970781,0,0,971160,9223982,0,
20191206,0,0,753214,926717,975195,957483,827793,0,0,0,871077,0,0,0,0,7971698,6828690,929468,0,965154,0,0,0,0,4020749,794926,0,737925,0,778743,6221120,4808976,0,0,0,0,971103,0,0,971479,9229043,0,
20191207,0,0,757288,927166,975497,959602,830161,0,0,0,871418,0,0,0,0,7976082,6831711,929774,0,966728,0,0,0,0,4027798,795893,0,738550,0,779320,6223667,4813752,0,0,0,0,971573,0,0,972010,9236416,0,
20191208,0,0,760476,927612,975749,962018,832673,0,0,0,871734,0,0,0,0,7979941,6834723,930061,0,968566,0,0,0,0,4035036,796857,0,739215,0,780033,6225973,4818367,0,0,0,0,971976,0,0,972762,9243307,0,
20191209,0,0,762181,927898,975936,962975,834164,0,0,0,871951,0,0,0,0,7982621,6837039,930221,0,969461,0,0,0,0,4039592,797361,0,739633,0,780444,6227453,4821545,0,0,0,0,972202,0,0,973206,9247810,0,
20191210,0,0,763686,928111,976065,963680,835771,0,0,0,872233,0,0,0,0,7984956,6838981,930355,0,970235,0,0,0,0,4043652,797780,0,740059,0,780771,6228801,4824337,0,0,0,0,972414,0,0,973597,9251896,0,
